doc_id,url,url_confidence,publisher,title,retrieved_at,last_updated,licence,filename,sha256,pages,text_layer
enrolling-in-medicare-if-you-u2019re-a-new-zealand-citizen-m,https://www.servicesaustralia.gov.au/enrolling-medicare-if-youre-new-zealand-citizen?context=60092,sibling-link (0.83),Services Australia,Enrolling in Medicare if you’re a New Zealand citizen - Medicare - Services Australia,2026-09-11T16:06:59+10:00,24 June 2024,TO_VERIFY,Enrolling in Medicare if you#U2019re a New Zealand citizen - Medicare - Services Australia.pdf,832de8d98b3b904cf2a4a74c9269f64da14847d1b80f6ec4008bda4fa5208cea,3,OK
enrolling-in-medicare-if-you-u2019re-a-temporary-resident-co,https://www.servicesaustralia.gov.au/enrolling-medicare-if-youre-temporary-resident-covered-ministerial-order?context=60092,sibling-link (0.88),Services Australia,Enrolling in Medicare if you’re a temporary resident covered by a Ministerial Order - Medicare - Services Australia,2026-09-11T16:07:12+10:00,17 December 2025,TO_VERIFY,Enrolling in Medicare if you#U2019re a temporary resident covered by a Ministerial Order - Medicare - Services Australia.pdf,a8ca6f9ac99dd59479a58f078038368d43d4059679fa88e66782d3224cb6284b,3,OK
enrolling-in-medicare-if-you-u2019re-an-australian-citizen-m,https://www.servicesaustralia.gov.au/enrolling-medicare-if-youre-australian-citizen?context=60092,sibling-link (0.80),Services Australia,Enrolling in Medicare if you’re an Australian citizen - Medicare - Services Australia,2026-09-11T16:07:05+10:00,30 June 2025,TO_VERIFY,Enrolling in Medicare if you#U2019re an Australian citizen - Medicare - Services Australia.pdf,e158b6d82c8b5bc8e43a14a70ccb3f908ced0a1456de6607c5ed0f1bd74d71bb,4,OK
enrolling-in-medicare-if-you-u2019re-an-australian-permanent,https://www.servicesaustralia.gov.au/enrolling-medicare-if-youre-australian-permanent-resident?context=60092,sibling-link (0.83),Services Australia,Enrolling in Medicare if you’re an Australian permanent resident - Medicare - Services Australia,2026-09-11T16:06:54+10:00,11 July 2025,TO_VERIFY,Enrolling in Medicare if you#U2019re an Australian permanent resident - Medicare - Services Australia.pdf,c3e80e5d85520d92f9217c6065359ff4b649865b538b16c101613880f9d551af,5,OK
enrolling-your-baby-in-medicare-medicare-services-australia,https://www.servicesaustralia.gov.au/enrolling-your-baby-medicare?context=60092,sibling-link (1.00),Services Australia,Enrolling your baby in Medicare - Medicare - Services Australia,2026-09-11T16:07:31+10:00,8 September 2026,TO_VERIFY,Enrolling your baby in Medicare - Medicare - Services Australia.pdf,3502271e6ab7cfb0d026752634710f9fbb1ad422528376ba929e09e726051e28,5,OK
fair-work-system-fair-work-ombudsman,https://www.fairwork.gov.au/about-us/workplace-laws/fair-work-system,self-canonical,Fair Work Ombudsman,Fair Work system - Fair Work Ombudsman,2026-09-11T16:20:52+10:00,not_shown,TO_VERIFY,Fair Work system - Fair Work Ombudsman.pdf,1a455a0eaddaf6c2fe78bb927680d81ed1906beef8700ab1c14752ff24a63d5c,3,OK
getting-medicare-benefits-medicare-services-australia,https://www.servicesaustralia.gov.au/getting-medicare-benefits?context=60092,sibling-link (1.00),Services Australia,Getting Medicare benefits - Medicare - Services Australia,2026-09-11T16:10:35+10:00,27 March 2026,TO_VERIFY,Getting Medicare benefits - Medicare - Services Australia.pdf,17f0d58e8d0a57f7ca2f40ec15e9132133043fad1d9747d3711860a6fac857c2,3,OK
health-care-and-medicare-medicare-services-australia,https://www.servicesaustralia.gov.au/health-care-and-medicare?context=60092,PATTERN-INFERRED (check),Services Australia,Health care and Medicare - Medicare - Services Australia,2026-09-11T16:07:53+10:00,14 November 2025,TO_VERIFY,Health care and Medicare - Medicare - Services Australia.pdf,fc9bf75d441c03d1c396fbb7879501246c80a8ccf538db08dce5f1d3f6abfe71,6,OK
how-you-update-your-name-date-of-birth-or-gender-for-medicar,https://www.servicesaustralia.gov.au/how-you-update-your-name-date-birth-or-gender-for-medicare?context=60092,sibling-link (1.00),Services Australia,"How you update your name, date of birth or gender for Medicare - Medicare - Services Australia",2026-09-11T16:11:03+10:00,2 April 2026,TO_VERIFY,"How you update your name, date of birth or gender for Medicare - Medicare - Services Australia.pdf",a5cd3499242fd756edfbd4689fa89c09f98b584c0e106af035d3ca830f303d4e,5,OK
how-your-medicare-card-and-account-work-medicare-services-au,https://www.servicesaustralia.gov.au/how-your-medicare-card-and-account-work?context=60092,sibling-link (1.00),Services Australia,How your Medicare card and account work - Medicare - Services Australia,2026-09-11T16:10:39+10:00,2 April 2026,TO_VERIFY,How your Medicare card and account work - Medicare - Services Australia.pdf,c3770dc86e29be2845658c3bf05aaec897ed3a898fe8a06ff3451890df28badb,2,OK
